article_id,article_version,hcpc_modifier_group,paragraph,last_updated
53134,84,1,,2023-11-22 12:43:03.560000
53296,23,1,,2026-02-23 13:14:49.957000
53304,16,1,,2025-09-23 11:39:32.890000
53322,16,1,,2025-09-16 14:35:04.560000
53352,13,1,,2025-09-23 11:39:33.027000
53359,40,1,,2026-06-17 15:00:08.880000
53387,35,1,"<p>LT</p>
<p>RT</p>
<p>&nbsp;</p>",2026-06-26 12:42:12.317000
53399,13,1,,2019-11-07 15:59:39.837000
53423,16,1,,2019-09-30 14:29:56.320000
53435,11,1,,2023-01-11 18:34:32.450000
53441,10,1,,2019-09-26 17:30:03.900000
53444,14,1,,2023-01-10 20:56:52.933000
53472,18,1,,2019-12-03 21:10:27.230000
53480,14,1,,2019-10-15 14:36:38.470000
53482,13,1,,2019-10-24 00:19:10.997000
53484,18,1,,2026-05-04 13:10:02.680000
53488,11,1,,2019-10-02 12:44:20.700000
53497,15,1,,2023-01-11 13:47:04.470000
53531,22,1,,2024-09-09 13:22:00.803000
53538,15,1,,2019-10-15 15:07:32.120000
53558,29,1,,2022-01-18 12:58:03.890000
53605,21,1,,2021-07-08 12:10:04.603000
53702,19,1,,2019-11-11 14:30:33.447000
53708,16,1,,2019-10-30 14:47:41.273000
53773,20,1,,2024-01-12 15:56:27.957000
53775,34,1,<p>KX</p>,2025-01-07 15:40:50.403000
53778,14,1,,2019-09-25 21:21:37.703000
53781,17,1,,2024-01-11 16:38:49.603000
53784,15,1,,2020-08-12 19:50:20.290000
53793,38,1,,2026-01-27 16:36:00.183000
53883,26,1,"<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2024-03-01 14:33:37.167000
53972,10,1,,2025-09-23 11:39:33.540000
53986,18,1,,2024-12-04 18:18:01.180000
53988,20,1,,2024-12-04 17:54:48.087000
54018,33,1,,2023-07-21 17:08:27.443000
54021,26,1,,2024-05-24 15:25:57.827000
54061,23,1,,2025-12-22 15:12:01.513000
54095,68,1,,2025-09-26 17:04:49.613000
54111,50,1,,2025-09-26 17:14:51.403000
54117,88,1,,2026-01-23 13:39:50.950000
54188,33,1,,2024-08-28 20:13:45.933000
54191,27,1,,2023-11-08 18:44:29.917000
54192,22,1,,2024-05-29 21:01:58.827000
54194,23,1,,2023-11-14 18:27:56.940000
54195,22,1,,2023-11-15 12:11:05.560000
54196,20,1,,2023-11-15 12:12:26.470000
54257,14,1,,2023-11-08 16:53:27.480000
54269,14,1,,2023-11-14 18:04:43.230000
54270,16,1,,2023-11-14 18:06:31.833000
54283,15,1,,2023-11-15 12:26:18.470000
54295,27,1,,2023-11-10 16:31:04.923000
54300,16,1,,2023-11-07 15:46:52.077000
54327,7,1,,2023-11-07 15:11:38.733000
54338,55,1,,2025-08-29 17:41:29.993000
54386,38,1,<p>N/A</p>,2026-02-09 16:51:04.813000
54418,28,1,<p>N/A</p>,2026-02-09 16:51:05.267000
54422,21,1,<p>N/A</p>,2026-02-09 16:51:05.460000
54445,27,1,<p>N/A</p>,2026-02-09 16:51:06.820000
54472,30,1,,2023-02-20 19:12:21.917000
54480,16,1,,2026-02-09 16:51:07.310000
54484,13,1,,2026-02-09 16:51:07.440000
54498,24,1,<p>N/A</p>,2026-02-09 16:51:05.703000
54548,36,1,,2026-07-14 22:42:59.447000
54555,18,1,,2024-01-12 16:25:49.500000
54559,12,1,,2021-08-30 15:52:16.330000
54602,25,1,,2026-07-14 22:43:03.123000
54635,31,1,,2025-09-16 14:35:04.700000
54641,13,1,,2023-11-17 12:43:00.323000
54643,13,1,,2023-11-17 12:44:31.583000
54660,14,1,,2026-02-23 13:14:48.630000
54682,34,1,,2024-01-25 15:14:26.220000
54685,17,1,,2023-11-08 15:22:47.903000
54686,22,1,,2024-09-14 23:02:26.850000
54688,23,1,,2023-11-08 18:48:22.183000
54689,32,1,,2023-11-07 18:21:10.833000
54750,13,1,,2019-10-28 17:04:55.110000
54767,71,1,,2026-05-01 12:54:09.170000
54768,38,1,,2025-08-14 14:11:33.577000
54769,27,1,,2022-01-18 13:00:18.310000
54795,42,1,<p>N/A</p>,2024-03-15 10:14:22.817000
54799,67,1,,2026-05-01 12:53:39.960000
54830,9,1,,2024-04-05 20:59:32.513000
54831,28,1,,2023-08-24 15:36:23.510000
54832,14,1,,2024-03-28 13:08:54.857000
54880,10,1,,2025-06-05 17:08:18.760000
54901,27,1,,2024-03-15 17:01:26.033000
54909,25,1,,2026-07-14 22:43:03.503000
54923,45,1,,2026-01-22 14:31:42.740000
54926,25,1,,2025-05-09 14:50:07.580000
54929,40,1,,2025-10-27 12:06:23.633000
54954,28,1,,2023-01-20 14:21:01.807000
54958,28,1,<p>N/A</p>,2025-12-24 18:28:57.227000
54961,21,1,,2026-04-02 15:20:28.647000
54969,52,1,,2025-10-14 13:00:49.670000
54975,17,1,<p>N/A</p>,2026-02-09 16:51:04.120000
54982,28,1,,2025-05-09 14:48:53.143000
55001,69,1,<p>N/A</p>,2026-04-30 16:07:45.763000
55028,45,1,<p>N/A</p>,2025-10-27 12:06:22.187000
55044,18,1,,2025-09-23 11:39:33.103000
55056,14,1,,2025-10-27 12:06:23.687000
55061,13,1,,2026-06-16 19:35:52.413000
55069,26,1,,2025-08-14 17:49:02.310000
55115,18,1,<p>N/A</p>,2026-05-05 18:56:37.113000
55136,19,1,<p>N/A</p>,2024-01-24 13:36:42.880000
55146,17,1,,2026-04-21 17:09:34.280000
55147,30,1,<p>N/A</p>,2024-09-17 12:22:13.510000
55161,23,1,,2023-08-23 17:01:04.890000
55162,20,1,,2026-07-24 11:52:37.880000
55169,15,1,<p>N/A</p>,2025-10-22 15:38:30.720000
55175,25,1,,2025-12-23 19:00:35.490000
55193,15,1,,2026-04-20 12:22:56.997000
55197,35,1,,2026-02-20 13:10:20.490000
55200,37,1,<p>N/A</p>,2025-12-23 17:38:53.590000
55206,18,1,,2023-11-20 17:27:56.713000
55210,15,1,<p>N/A</p>,2026-01-22 14:36:51.557000
55215,9,1,,2025-09-16 14:35:04.870000
55224,37,1,<p>N/A</p>,2026-06-18 12:38:09.023000
55227,19,1,,2025-08-14 17:32:58.530000
55229,46,1,,2026-01-23 14:05:43.860000
55230,18,1,<p>N/A</p>,2025-12-23 17:56:22.723000
55231,17,1,<p>N/A</p>,2026-01-22 14:47:58.720000
55233,21,1,,2024-09-17 14:09:15.730000
55235,15,1,,2023-07-19 14:22:47.753000
55239,65,1,<p>N/A</p>,2026-06-24 20:03:12.720000
55264,14,1,<p>N/A</p>,2026-02-09 16:51:06.520000
55294,34,1,<p>N/A</p>,2026-02-09 16:51:06.057000
55310,12,1,,2025-08-28 12:06:50.737000
55315,17,1,,2025-09-26 22:10:36.743000
55326,40,1,,2025-10-27 12:06:24.967000
55336,49,1,,2025-08-21 12:24:18.653000
55354,35,1,,2023-06-05 13:31:53.137000
55478,12,1,,2025-09-16 14:35:03.850000
55503,5,1,,2023-11-22 16:23:07.623000
55530,35,1,,2025-10-14 13:00:49.843000
55584,19,1,,2025-09-16 14:35:04.440000
55595,17,1,<p>N/A</p>,2026-02-09 16:51:04.230000
55596,13,1,<p>N/A</p>,2026-02-09 16:51:07.817000
55597,24,1,<p>N/A</p>,2026-02-09 16:51:07.517000
55621,17,1,,2026-04-21 17:41:21.287000
55623,16,1,<p>N/A</p>,2026-02-09 16:51:07.670000
55624,34,1,<p>N/A</p>,2026-02-09 16:51:07.967000
55639,51,1,<p>N/A</p>,2025-11-18 20:23:20.680000
55672,26,1,,2026-07-14 22:42:59.750000
55675,25,1,,2025-10-06 18:48:48.637000
55695,21,1,,2023-05-23 12:49:05.600000
55703,27,1,,2026-06-18 15:02:38.077000
55709,11,1,,2024-04-16 15:08:02.687000
55711,24,1,<p>N/A</p>,2026-02-09 16:51:03.983000
55715,12,1,,2025-01-31 19:32:23.010000
55716,11,1,,2023-11-08 15:14:20.580000
55717,26,1,,2025-08-18 16:43:45.620000
55723,44,1,,2023-01-20 12:02:27.777000
55738,17,1,<p>N/A</p>,2023-06-22 12:58:52.263000
55754,22,1,,2025-09-16 14:35:04.627000
55769,14,1,,2025-10-06 18:48:48.950000
55774,13,1,<p>N/A</p>,2025-09-23 11:39:33.273000
55818,26,1,,2026-01-23 14:13:19.470000
55835,16,1,,2026-02-27 17:31:04.610000
55909,46,1,<p>N/A</p>,2025-11-18 19:04:08.983000
55913,9,1,,2024-12-17 15:26:40.647000
55937,46,1,,2026-04-02 15:10:22.810000
55951,21,1,<p>N/A</p>,2026-06-18 12:51:56.670000
56006,19,1,,2023-12-21 20:09:49.660000
56025,16,1,,2025-09-23 11:39:33.783000
56027,14,1,,2025-12-23 00:21:15.357000
56034,42,1,,2026-03-04 15:55:05.337000
56065,23,1,,2022-11-15 01:52:19.980000
56071,23,1,,2025-10-06 18:48:48.887000
56072,13,1,,2024-01-23 18:41:24.357000
56083,14,1,,2026-07-27 17:58:49.130000
56103,14,1,<p>N/A</p>,2026-02-09 16:51:07.033000
56106,14,1,,2024-01-30 20:17:52.790000
56141,39,1,,2020-11-12 22:00:17.003000
56152,35,1,,2025-10-27 12:06:23.137000
56157,19,1,<p>N/A</p>,2026-06-18 15:44:55.477000
56159,23,1,,2026-02-27 19:04:09.950000
56178,21,1,,2026-07-14 22:43:02.290000
56199,130,1,"<p>The 91 modifier is used for laboratory tests paid under the clinical laboratory fee schedule, as stated in the Medicare Claims Processing Manual Chapter 16, Laboratory Services Section 100.5.1.<br /><br /></p>",2026-07-16 16:40:38.363000
56232,34,1,<p>N/A</p>,2025-09-17 16:31:13.050000
56248,12,1,,2026-07-14 22:42:59.173000
56273,28,1,<p>N/A</p>,2025-08-22 18:58:44.830000
56287,18,1,,2024-05-31 13:37:46.913000
56289,14,1,,2026-02-19 15:38:53.373000
56333,11,1,<p>N/A</p>,2023-07-19 14:40:42.763000
56335,14,1,<p>N/A</p>,2025-04-25 18:44:23.440000
56346,27,1,,2026-06-12 13:28:59.690000
56380,56,1,,2025-08-26 12:14:59.303000
56384,7,1,,2019-10-08 18:32:34.977000
56389,36,1,,2025-08-21 14:33:49.337000
56390,11,1,,2023-01-10 14:47:11.900000
56391,37,1,<p>N/A</p>,2025-12-24 19:58:21.823000
56394,32,1,"<p>The <span style=""text-decoration: underline;"">providing practitioner is responsible</span> for applying the -KX modifier to claims for screening colonoscopy when the procedure follows a positive stool-based test as part of a complete colorectal cancer screening.</p>",2026-07-16 17:21:39.087000
56395,18,1,,2026-06-16 15:07:49.787000
56396,11,1,,2023-01-17 15:54:03.990000
56414,41,1,,2025-09-26 13:53:43.267000
56416,42,1,,2025-09-26 13:54:31.440000
56419,20,1,,2023-04-10 13:11:15.720000
56420,16,1,,2023-01-20 12:04:01.637000
56421,40,1,,2025-11-10 12:56:14.403000
56422,50,1,,2026-01-23 14:06:34.353000
56423,59,1,,2026-01-23 14:07:21.247000
56425,16,1,,2025-11-26 22:39:00.690000
56431,6,1,,2021-02-25 20:08:16.833000
56432,25,1,,2026-02-04 14:06:25
56439,18,1,,2025-10-31 20:58:08.600000
56448,22,1,,2025-11-26 22:37:20.307000
56451,26,1,,2025-09-30 23:46:16.937000
56453,12,1,,2025-09-18 20:06:23.023000
56454,12,1,,2026-02-23 17:34:52.797000
56455,12,1,,2026-02-20 22:00:55.193000
56456,32,1,,2026-02-20 19:56:10.670000
56457,15,1,,2026-02-20 19:22:54.443000
56459,30,1,,2026-04-10 11:43:25.790000
56460,14,1,,2026-02-20 19:46:01.277000
56461,26,1,,2026-02-27 14:26:45.577000
56462,32,1,,2026-02-27 16:11:05.433000
56464,35,1,,2026-02-27 18:26:52.740000
56465,16,1,,2026-03-25 18:17:46.760000
56467,14,1,,2026-03-25 20:03:04.487000
56471,18,1,,2026-02-20 21:43:00.440000
56476,35,1,,2025-08-14 14:47:37.887000
56491,25,1,,2025-03-18 16:49:18.653000
56493,13,1,,2025-10-31 20:50:57.630000
56494,17,1,,2026-02-20 21:50:05.440000
56497,20,1,,2021-02-09 13:54:19.163000
56500,39,1,,2025-10-31 21:03:23.123000
56502,8,1,,2023-11-20 14:21:05.527000
56503,12,1,,2024-12-17 16:47:49.507000
56505,41,1,,2026-02-20 14:54:44.960000
56514,25,1,<p>N/A</p>,2025-10-14 13:00:42.573000
56531,19,1,,2024-08-12 18:11:49.577000
56537,41,1,,2026-07-14 22:43:03.407000
56538,27,1,,2025-09-26 13:55:13.920000
56541,40,1,,2024-01-19 13:04:01.017000
56542,18,1,,2025-09-26 17:08:20.433000
56544,28,1,,2026-07-14 22:42:59.017000
56545,14,1,,2024-11-13 14:10:50
56548,20,1,,2026-07-14 22:42:59.233000
56549,13,1,,2026-07-14 22:43:01.600000
56550,12,1,,2026-07-14 22:43:02.190000
56551,34,1,,2026-07-14 22:43:04.543000
56558,86,1,,2025-11-26 13:34:36.860000
56559,26,1,,2025-08-13 21:55:26.053000
56562,33,1,,2024-08-08 18:59:19.513000
56566,46,1,,2026-07-14 22:43:01.973000
56572,22,1,<p>N/A</p>,2025-10-27 12:06:23.070000
56580,30,1,,2025-08-14 18:31:13.090000
56584,14,1,,2023-07-06 14:41:36.983000
56587,48,1,,2026-02-06 13:52:17.270000
56588,33,1,,2026-07-16 15:49:12.120000
56594,14,1,,2026-03-16 18:22:37.210000
56602,39,1,,2025-01-24 13:51:55.843000
56605,22,1,,2025-12-22 15:47:48.893000
56607,19,1,,2025-08-21 14:15:19.033000
56609,18,1,,2026-07-14 22:42:58.623000
56610,13,1,,2023-11-06 15:53:06.300000
56611,15,1,,2025-08-14 16:11:19.137000
56612,35,1,,2026-07-17 12:41:06.683000
56613,17,1,,2025-08-14 16:13:18.737000
56614,23,1,,2025-04-09 14:26:14.137000
56615,36,1,,2025-09-26 13:56:51.227000
56616,11,1,,2024-12-13 15:16:30.767000
56617,26,1,,2026-07-14 22:42:59.333000
56619,33,1,,2025-08-20 14:53:32.640000
56621,26,1,,2025-08-14 12:30:33.987000
56625,36,1,,2025-08-19 15:00:46.823000
56631,19,1,,2023-10-20 11:53:00.737000
56632,31,1,,2025-08-14 17:16:03.233000
56633,47,1,,2023-11-09 23:50:23.010000
56636,20,1,,2025-10-22 18:51:30.333000
56638,37,1,,2025-07-09 18:47:27.213000
56639,20,1,,2025-08-14 13:23:36.783000
56640,16,1,,2019-09-06 18:27:01.200000
56641,18,1,,2025-08-14 13:58:38.173000
56642,47,1,,2025-07-09 18:46:27.867000
56644,29,1,,2025-09-26 14:04:44.160000
56645,48,1,,2024-10-18 13:49:36.060000
56647,32,1,,2023-11-09 23:51:49.847000
56648,19,1,,2023-10-19 18:16:12.080000
56651,36,1,,2023-11-09 11:41:10.573000
56653,15,1,,2024-05-31 13:36:54.770000
56658,42,1,,2026-01-27 16:16:04.083000
56666,19,1,,2023-01-20 12:03:14.147000
56669,16,1,,2024-07-23 15:40:31.860000
56670,61,1,<p>N/A</p>,2026-04-02 15:32:45.693000
56672,16,1,,2024-10-18 12:45:48.183000
56673,14,1,,2024-12-13 15:17:19.267000
56674,11,1,,2025-04-09 14:28:57.673000
56675,25,1,,2024-09-05 14:28:59.523000
56679,9,1,,2024-08-22 14:02:01.940000
56680,44,1,,2025-10-24 13:18:45.330000
56681,34,1,,2023-11-09 11:38:02.703000
56682,49,1,,2025-10-03 12:28:15.207000
56684,17,1,,2025-09-12 14:35:09.637000
56685,17,1,,2024-08-26 14:04:30.413000
56686,16,1,,2024-12-17 17:34:18.770000
56691,28,1,,2025-08-14 13:49:00.380000
56692,19,1,,2026-07-27 17:39:25.680000
56695,24,1,,2025-08-25 13:18:53.047000
56696,43,1,,2026-03-05 12:45:14.920000
56697,44,1,,2025-10-31 21:11:10.810000
56703,17,1,,2024-06-24 12:34:07.987000
56704,10,1,,2022-03-04 13:36:36.313000
56717,35,1,,2026-02-04 14:11:04.907000
56718,39,1,,2026-06-26 12:40:36.347000
56722,23,1,,2025-09-26 17:44:04.800000
56724,5,1,,2019-10-09 15:05:14.870000
56726,43,1,,2026-07-14 22:43:01.730000
56727,21,1,,2025-08-18 15:58:46.430000
56729,21,1,,2025-08-25 14:13:13.287000
56730,27,1,,2026-02-04 14:11:47.090000
56731,16,1,,2023-12-27 19:22:55.513000
56732,15,1,,2023-12-20 18:54:09.227000
56737,31,1,,2026-07-14 22:42:58.877000
56743,26,1,,2026-07-14 22:42:58.933000
56747,29,1,,2026-07-14 22:43:00.663000
56748,31,1,,2026-06-26 12:41:20.077000
56754,4,1,,2019-09-26 17:24:10.560000
56756,20,1,,2023-11-03 14:52:03.380000
56758,62,1,,2026-07-14 22:43:01.297000
56766,25,1,,2026-07-14 22:43:00.320000
56767,29,1,,2026-07-14 22:42:59.973000
56769,18,1,,2025-08-14 15:14:15.397000
56771,25,1,,2024-09-17 12:35:02.150000
56773,30,1,,2025-09-26 13:57:32.630000
56774,22,1,,2025-08-14 11:51:29.523000
56775,24,1,,2025-08-25 13:56:04.993000
56777,16,1,,2026-01-27 16:48:12
56779,25,1,,2026-06-12 20:47:55.893000
56781,39,1,,2026-07-14 22:43:04.127000
56784,18,1,,2024-08-12 15:21:08.943000
56786,77,1,,2026-07-10 13:47:46.527000
56787,24,1,,2026-07-14 22:43:01.423000
56792,11,1,,2023-08-07 14:15:22.317000
56793,35,1,,2026-07-14 22:42:59.803000
56795,34,1,<p>N/A</p>,2025-04-23 19:27:45.450000
56796,31,1,,2026-01-23 13:44:53.973000
56797,18,1,,2026-07-14 22:42:59.693000
56798,29,1,,2026-07-27 17:53:30.673000
56799,29,1,,2025-10-30 14:19:04.033000
56802,18,1,,2025-09-26 22:16:16.487000
56805,41,1,,2025-09-26 17:13:53.940000
56808,15,1,,2025-09-26 22:12:16.470000
56809,20,1,,2025-08-29 17:15:27.260000
56811,13,1,,2025-09-19 13:08:35.837000
56816,16,1,,2026-02-20 21:11:46.690000
56818,55,1,,2026-06-22 17:24:57.043000
56823,22,1,,2026-07-14 22:43:02.240000
56825,20,1,,2025-08-14 15:48:46.883000
56826,12,1,,2026-07-14 22:42:58.563000
56827,17,1,,2026-07-14 22:42:55.277000
56836,18,1,,2026-04-29 15:39:35.177000
56837,18,1,,2026-07-14 22:43:03.070000
56838,13,1,,2024-05-21 14:16:40.207000
56841,18,1,,2023-10-20 11:51:57.263000
56844,26,1,,2026-07-14 22:43:03.023000
56845,12,1,,2026-07-14 22:43:04.360000
56848,16,1,,2025-01-24 13:54:22.770000
56850,33,1,,2026-07-14 22:43:02.743000
56852,24,1,,2026-01-27 16:20:04.463000
56853,102,1,,2026-07-21 12:43:22.663000
56857,7,1,,2021-06-30 12:24:42.627000
56859,7,1,,2021-02-02 17:28:11.633000
56863,15,1,,2026-07-14 22:43:03.450000
56865,29,1,,2026-07-14 22:43:02.643000
56866,21,1,,2026-06-12 13:29:34.373000
56867,45,1,,2026-07-14 22:42:59.900000
56868,30,1,,2025-08-22 19:20:56.293000
56869,12,1,,2024-12-17 20:18:35.400000
56870,7,1,,2021-11-16 13:03:11.370000
56871,19,1,,2024-12-16 20:11:02.040000
56872,10,1,,2023-07-21 15:01:18.897000
56874,29,1,,2026-07-14 22:43:03.620000
56875,11,1,,2021-09-09 12:14:43.133000
56876,18,1,,2023-12-28 16:40:58.680000
56881,10,1,,2025-08-01 00:19:51.063000
56884,13,1,,2023-11-08 17:11:56.847000
56885,14,1,,2023-11-10 16:46:18.910000
56887,11,1,,2023-11-15 12:11:45.737000
56898,15,1,,2021-06-15 12:08:48.113000
56899,11,1,,2024-10-31 13:10:46.850000
56900,23,1,<p>N/A</p>,2025-09-17 17:04:28.400000
56902,50,1,<p>N/A</p>,2026-01-22 20:17:24.210000
56903,15,1,,2025-06-18 17:23:38.883000
56905,20,1,,2026-01-22 19:48:02.213000
56906,13,1,,2022-06-20 12:58:59.417000
56907,24,1,,2025-12-24 18:56:23.510000
56908,19,1,<p>The GY modifier must be billed with ICD-10 code Z41.1 for a non-covered denial.</p>,2025-12-24 17:44:44.560000
56910,9,1,,2025-07-16 16:14:38.403000
56913,13,1,,2023-07-07 13:48:57.523000
56914,19,1,<p>N/A</p>,2026-01-22 19:51:09.270000
56915,37,1,,2026-04-29 14:55:54.230000
56916,33,1,<p>N/A</p>,2026-04-21 17:37:15.637000
56923,16,1,,2023-01-20 12:08:35.170000
56924,11,1,,2023-07-03 13:03:52.663000
56926,17,1,,2026-07-27 16:44:20.790000
56929,15,1,"<p>No modifiers applicable for <em><strong><span style=""line-height: 115%;"">ICD-10 Codes that Support Medical Necessity Group 1: Codes.</span></strong></em></p>",2023-09-14 20:07:55.910000
56929,15,2,,2023-09-14 20:07:55.913000
56933,9,1,,2022-10-10 12:44:24.120000
56937,43,1,,2026-07-14 22:43:02.853000
56938,46,1,,2022-01-14 13:50:48.143000
56940,11,1,,2025-02-06 19:27:32.853000
56941,7,1,,2021-10-07 11:42:28.920000
56943,17,1,,2025-08-22 15:02:45.087000
56948,23,1,,2025-08-18 19:13:33.113000
56949,7,1,,2021-04-15 12:17:13.233000
56952,50,1,,2026-01-23 14:15:06.630000
56953,25,1,,2022-01-14 13:57:32.367000
56954,6,1,,2026-07-14 22:43:01.780000
56957,9,1,,2021-12-22 16:14:23.917000
56961,18,1,,2025-10-17 11:34:05.817000
56962,8,1,,2021-09-09 12:21:17.030000
56963,12,1,,2021-09-29 12:07:10.587000
56973,69,1,,2026-07-24 12:18:57.453000
56980,12,1,,2025-06-11 12:08:10.673000
56981,16,1,,2023-11-08 18:29:32.487000
56982,15,1,,2025-06-11 12:09:58.923000
56983,12,1,,2024-08-14 19:41:57.103000
56985,15,1,,2023-11-08 18:39:49.463000
56988,17,1,,2025-11-26 22:42:01.693000
56989,11,1,,2023-11-08 16:59:19.820000
56995,15,1,,2024-02-28 14:33:00.323000
56997,18,1,,2025-04-30 19:24:05.700000
56998,10,1,,2023-11-15 12:09:43.233000
57020,6,1,,2026-07-14 22:43:00.843000
57021,19,1,,2024-01-29 16:47:57.557000
57024,16,1,,2026-07-14 22:42:58.517000
57025,21,1,<p>N/A</p>,2025-01-24 13:58:48.657000
57029,10,1,,2022-10-28 13:23:02.547000
57030,11,1,,2026-07-14 22:42:59.497000
57034,11,1,,2024-11-08 16:17:10.453000
57037,24,1,<p>N/A</p>,2026-01-12 13:44:32.323000
57038,16,1,,2025-08-29 17:00:59.287000
57039,9,1,,2025-08-29 16:39:28.080000
57040,26,1,,2026-07-27 17:49:56.427000
57041,21,1,,2026-04-02 15:40:48.697000
57043,24,1,,2026-07-27 16:54:52.090000
57044,22,1,,2026-07-27 17:16:17.910000
57047,11,1,,2023-12-29 17:47:55.447000
57049,13,1,,2026-02-27 17:26:37.947000
57050,13,1,,2026-03-16 18:26:42.480000
57052,18,1,,2026-04-03 12:59:07.343000
57053,22,1,,2026-04-02 15:31:14.987000
57054,12,1,,2026-04-02 15:33:45.270000
57056,44,1,,2025-10-03 12:29:19.390000
57060,12,1,,2026-07-14 22:43:04.427000
57063,29,1,,2025-09-26 17:19:11.050000
57065,32,1,,2026-05-29 20:46:54.787000
57067,34,1,,2026-05-29 21:16:57.503000
57068,17,1,,2026-04-29 16:31:51.340000
57069,25,1,,2026-05-22 16:03:03.273000
57070,16,1,,2026-05-29 21:20:00.660000
57071,36,1,,2026-05-29 21:30:01.633000
57072,17,1,<p>N/A</p>,2023-06-29 17:20:47.940000
57077,29,1,,2024-10-18 13:54:49.250000
57079,15,1,,2026-03-24 16:38:13.253000
57083,14,1,,2026-02-23 13:14:48.517000
57092,25,1,,2026-07-14 22:43:00.103000
57100,51,1,<p>N/A</p>,2026-07-24 12:21:39.547000
57106,12,1,,2024-01-23 20:39:59.407000
57110,17,1,,2024-09-17 14:04:25.460000
57112,11,1,<p>N/A</p>,2024-06-18 13:50:35.500000
57113,44,1,,2026-01-23 13:45:56.860000
57114,21,1,"<p>It is the provider&#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.</p>
<p><strong>Note:</strong> The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.</p>",2026-07-17 17:54:54.173000
57115,10,1,,2026-01-23 14:15:55.930000
57118,3,1,,2019-10-02 17:03:59.110000
57122,23,1,,2025-12-12 14:46:47.553000
57123,61,1,,2025-09-26 17:05:42.520000
57124,21,1,<p>N/A</p>,2026-01-12 13:44:32.777000
57125,22,1,<p>N/A</p>,2024-10-18 13:43:39
57130,51,1,,2025-09-26 13:58:25.637000
57132,19,1,,2023-12-29 17:42:59.203000
57141,47,1,,2026-07-24 13:55:30.790000
57143,3,1,,2019-09-16 16:48:36.647000
57145,32,1,,2026-01-23 14:16:53.010000
57146,3,1,,2019-09-16 16:49:39.983000
57149,20,1,,2026-02-27 19:14:14.480000
57152,2,1,,2019-09-16 16:36:46.340000
57155,15,1,<p>N/A</p>,2024-09-30 18:28:44.020000
57160,13,1,,2026-04-10 11:40:19.037000
57161,22,1,,2025-12-22 15:21:37.553000
57165,15,1,,2025-10-27 17:47:50.393000
57170,2,1,,2019-09-16 18:17:45.980000
57174,2,1,,2019-09-16 19:16:53.603000
57179,22,1,,2026-02-20 14:56:44.227000
57181,37,1,,2025-09-23 19:02:59.383000
